epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8465,2.50769,7.59599,1.26674,0.0006,0.17857,0.0004,0.00016,2.45753,6.5772,1.2079,2e-05,2e-05,2e-05
2,24.7903,2.43884,6.62828,1.18888,0.00071,0.21429,0.00052,0.00026,2.2079,6.39005,1.12512,5.9604e-05,5.9604e-05,5.9604e-05
3,36.5356,2.14155,6.33844,1.12172,0.00107,0.32143,0.00079,0.00031,1.97228,6.05379,1.0428,9.868e-05,9.868e-05,9.868e-05
4,48.445,1.92365,6.51064,1.06194,0.00131,0.39286,0.00115,0.00047,1.80674,5.77779,0.99821,0.000137228,0.000137228,0.000137228
5,59.9564,2.0364,6.08075,1.03937,0.00262,0.78571,0.0036,0.00102,1.72667,5.63291,0.96479,0.000175248,0.000175248,0.000175248
6,71.4743,1.99151,4.89994,1.0246,0.00321,0.96429,0.00813,0.00276,1.62478,5.46636,0.92082,0.00021274,0.00021274,0.00021274
7,82.9146,1.88617,4.6405,1.04367,0.0031,0.92857,0.01249,0.00315,1.66855,5.33818,0.92696,0.000249704,0.000249704,0.000249704
8,94.4551,1.96432,4.03475,1.03004,0.00321,0.96429,0.01456,0.00338,1.55175,5.2965,0.90581,0.00028614,0.00028614,0.00028614
9,105.97,1.90601,3.96435,1.0795,0.00333,1,0.00511,0.00218,1.52818,5.34756,0.90995,0.000322048,0.000322048,0.000322048
10,117.921,1.56804,3.5057,0.92786,0.00333,1,0.00612,0.00233,1.50133,5.33211,0.90884,0.000357428,0.000357428,0.000357428
11,129.847,1.66087,3.32985,1.0333,0.00333,1,0.00518,0.00201,1.44335,5.21273,0.90266,0.00039228,0.00039228,0.00039228
12,141.977,1.76706,2.95089,1.06317,0.00333,1,0.00474,0.00188,1.50092,5.26228,0.90396,0.000426604,0.000426604,0.000426604
13,153.839,1.57387,2.84984,0.97694,0.00333,1,0.0045,0.00177,1.42258,5.25101,0.89139,0.0004604,0.0004604,0.0004604
14,165.647,1.57915,3.64165,0.92794,0.0031,0.92857,0.00391,0.00152,1.41366,5.18294,0.89574,0.000493668,0.000493668,0.000493668
15,177.17,1.51458,3.23185,0.92441,0.0031,0.92857,0.00379,0.00142,1.46895,5.24014,0.90954,0.000526408,0.000526408,0.000526408
16,188.895,1.59533,2.70996,0.96494,0.00298,0.89286,0.00351,0.00141,1.43638,5.16211,0.91322,0.00055862,0.00055862,0.00055862
17,200.551,1.52738,2.90733,0.96654,0.0031,0.92857,0.00371,0.00145,1.40952,5.10759,0.91177,0.000590304,0.000590304,0.000590304
18,212.264,1.56557,2.7535,0.96877,0.00321,0.96429,0.00403,0.00152,1.3568,4.97325,0.90449,0.00062146,0.00062146,0.00062146
19,224.023,1.59087,3.01502,0.9918,0.00321,0.96429,0.00394,0.00149,1.28437,5.00647,0.88736,0.000652088,0.000652088,0.000652088
20,235.874,1.6982,2.81015,0.96622,0.00298,0.89286,0.00347,0.00123,1.37494,5.04196,0.91575,0.000682188,0.000682188,0.000682188
21,247.631,1.49343,2.94627,0.95096,0.0031,0.92857,0.00368,0.00117,1.46882,5.09677,0.93834,0.00071176,0.00071176,0.00071176
22,259.258,1.55716,2.67452,1.02081,0.0031,0.92857,0.00378,0.00164,1.30712,4.93525,0.89843,0.000740804,0.000740804,0.000740804
