epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.482,1.88928,5.12138,0.9721,0.00262,0.78571,0.00404,0.00071,1.84827,6.30546,1.00396,0.00054,0.00054,0.00054
2,255.822,1.79258,3.16427,0.97093,0.00333,1,0.00378,0.00152,1.68282,5.21252,0.96913,0.00108911,0.00108911,0.00108911
3,381.954,1.64066,2.68538,0.94448,0.00434,1,0.995,0.51676,1.51426,3.63413,0.97046,0.00162713,0.00162713,0.00162713
4,506.913,1.61545,2.16177,0.94115,0.95897,1,0.995,0.56144,1.61783,2.66728,0.99148,0.0019406,0.0019406,0.0019406
5,631.855,1.61637,1.90698,0.92211,0.93702,0.92857,0.99033,0.48359,1.68269,1.98882,1.03487,0.0019208,0.0019208,0.0019208
6,756.753,1.67158,1.6945,0.94287,0.98181,1,0.995,0.57332,1.34649,1.41245,0.94791,0.001901,0.001901,0.001901
7,881.495,1.57242,1.49405,0.91898,0.9945,1,0.995,0.57802,1.43482,1.35951,0.94553,0.0018812,0.0018812,0.0018812
8,1005.52,1.53866,1.24257,0.91899,0.99574,1,0.995,0.59424,1.41379,1.14547,0.9324,0.0018614,0.0018614,0.0018614
9,1130.12,1.51162,1.13588,0.92654,0.9946,1,0.995,0.58543,1.45268,1.0178,0.95064,0.0018416,0.0018416,0.0018416
10,1255.89,1.52289,1.04384,0.92282,0.98612,1,0.995,0.57461,1.34774,1.01062,0.93407,0.0018218,0.0018218,0.0018218
11,1382.7,1.47374,0.94172,0.94608,0.99451,1,0.995,0.66002,1.20668,0.81557,0.92456,0.001802,0.001802,0.001802
12,1509.14,1.45054,0.86344,0.91718,0.99502,1,0.995,0.65389,1.30109,0.77163,0.93251,0.0017822,0.0017822,0.0017822
13,1638.31,1.46744,0.84769,0.90378,0.99003,1,0.995,0.60693,1.45652,0.87362,0.97523,0.0017624,0.0017624,0.0017624
14,1769.28,1.48756,0.86634,0.91177,0.99532,1,0.995,0.62606,1.4333,0.74225,0.95497,0.0017426,0.0017426,0.0017426
15,1897.77,1.41638,0.77642,0.9087,0.99539,1,0.995,0.62927,1.3876,0.74586,0.92705,0.0017228,0.0017228,0.0017228
16,2024.06,1.45759,0.77965,0.90394,0.99393,1,0.995,0.62782,1.30416,0.74721,0.93157,0.001703,0.001703,0.001703
17,2158.96,1.41262,0.74606,0.90835,1,0.97514,0.995,0.61233,1.33561,0.93366,0.9432,0.0016832,0.0016832,0.0016832
18,2285.01,1.41565,0.71674,0.90336,0.99423,1,0.995,0.62822,1.33492,0.67377,0.95944,0.0016634,0.0016634,0.0016634
19,2404.48,1.41705,0.70141,0.90222,0.99299,1,0.995,0.67879,1.29448,0.67703,0.93146,0.0016436,0.0016436,0.0016436
20,2520.27,1.35724,0.68806,0.89646,0.99581,1,0.995,0.65064,1.26939,0.63725,0.95161,0.0016238,0.0016238,0.0016238
21,2637.91,1.33045,0.67512,0.88341,0.99532,1,0.995,0.63172,1.32258,0.60616,0.93212,0.001604,0.001604,0.001604
22,2756.69,1.43853,0.69423,0.89555,0.99533,1,0.995,0.64185,1.38819,0.64052,0.92681,0.0015842,0.0015842,0.0015842
23,2874.15,1.47238,0.70291,0.908,0.99484,1,0.995,0.66339,1.29098,0.61482,0.92573,0.0015644,0.0015644,0.0015644
24,2992.27,1.3898,0.66775,0.89756,0.99537,1,0.995,0.68937,1.24444,0.60081,0.92993,0.0015446,0.0015446,0.0015446
25,3109.32,1.3619,0.65862,0.91324,0.99422,1,0.995,0.69879,1.22567,0.60662,0.92553,0.0015248,0.0015248,0.0015248
26,3227.46,1.38042,0.67592,0.8874,0.99344,1,0.995,0.69762,1.17922,0.57932,0.90456,0.001505,0.001505,0.001505
27,3344.52,1.38277,0.65373,0.90473,0.99438,1,0.995,0.70393,1.17738,0.61265,0.89585,0.0014852,0.0014852,0.0014852
28,3463.06,1.38025,0.67324,0.8968,0.99497,1,0.995,0.68884,1.27392,0.64229,0.92218,0.0014654,0.0014654,0.0014654
29,3581.79,1.37464,0.62972,0.90012,0.9956,1,0.995,0.66226,1.20799,0.61174,0.90697,0.0014456,0.0014456,0.0014456
30,3699.63,1.34581,0.62856,0.89723,0.99385,1,0.995,0.68362,1.25266,0.59098,0.90686,0.0014258,0.0014258,0.0014258
31,3817.07,1.38075,0.63794,0.89554,0.9951,1,0.995,0.67566,1.17615,0.60866,0.89833,0.001406,0.001406,0.001406
32,3935.17,1.34105,0.63172,0.89311,0.99493,1,0.995,0.61577,1.23851,0.64331,0.90571,0.0013862,0.0013862,0.0013862
