epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.057,1.88928,5.12138,0.9721,0.00262,0.78571,0.00404,0.00071,1.84827,6.30546,1.00396,0.00054,0.00054,0.00054
2,215.217,1.79247,3.19136,0.97077,0.0031,0.92857,0.00365,0.00175,1.77581,5.19887,0.98555,0.00109455,0.00109455,0.00109455
3,322.861,1.67469,2.63986,0.93961,0.46605,0.3135,0.66333,0.32005,1.55826,3.52219,0.95581,0.00164357,0.00164357,0.00164357
4,430.859,1.62237,2.21187,0.94376,0.99197,1,0.995,0.54677,1.48165,2.37724,0.97943,0.0019703,0.0019703,0.0019703
5,539.163,1.59586,1.91009,0.92402,0.99087,1,0.995,0.53494,1.58448,1.75386,1.00412,0.0019604,0.0019604,0.0019604
6,648.466,1.60168,1.62932,0.94051,0.99545,0.92857,0.99033,0.58364,1.64858,1.49238,0.97367,0.0019505,0.0019505,0.0019505
7,756.849,1.58905,1.47971,0.91665,0.99409,1,0.995,0.51776,1.58944,1.28186,0.95557,0.0019406,0.0019406,0.0019406
8,866.097,1.64623,1.27792,0.93319,0.87463,0.99681,0.97125,0.57864,1.44465,1.30056,0.94683,0.0019307,0.0019307,0.0019307
9,974.197,1.52187,1.13942,0.92343,0.98106,1,0.995,0.55405,1.42636,1.32685,0.95149,0.0019208,0.0019208,0.0019208
10,1081.48,1.51196,1.04459,0.91843,0.99396,1,0.995,0.48535,1.71024,1.14798,1.00665,0.0019109,0.0019109,0.0019109
11,1189.16,1.45707,0.91057,0.93597,1,0.99874,0.995,0.646,1.41185,0.93072,0.95661,0.001901,0.001901,0.001901
12,1297.64,1.5068,0.89644,0.92337,0.99785,1,0.995,0.59354,1.56373,0.83823,0.96727,0.0018911,0.0018911,0.0018911
13,1405.08,1.41638,0.84642,0.89336,0.99427,1,0.995,0.61668,1.40026,0.80953,0.94058,0.0018812,0.0018812,0.0018812
14,1512.81,1.47098,0.82905,0.90841,0.99595,1,0.995,0.64783,1.27501,0.78785,0.92254,0.0018713,0.0018713,0.0018713
15,1621.75,1.42915,0.76953,0.91398,0.99447,1,0.995,0.67098,1.26071,0.73197,0.91234,0.0018614,0.0018614,0.0018614
16,1729.55,1.46435,0.76217,0.90425,0.99261,1,0.995,0.63064,1.38402,0.71575,0.93945,0.0018515,0.0018515,0.0018515
17,1837.47,1.42304,0.7467,0.9102,0.99517,1,0.995,0.65955,1.39564,0.73321,0.94028,0.0018416,0.0018416,0.0018416
18,1944.13,1.42198,0.72158,0.90775,0.99513,1,0.995,0.62331,1.28327,0.68651,0.93632,0.0018317,0.0018317,0.0018317
19,2052.29,1.42016,0.7135,0.90076,0.99547,1,0.995,0.53728,1.79661,0.87244,1.03896,0.0018218,0.0018218,0.0018218
20,2160.27,1.44047,0.72943,0.90604,0.99357,1,0.995,0.59085,1.54075,0.76243,0.97867,0.0018119,0.0018119,0.0018119
