epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,640.215,1.12798,1.49056,1.26309,0.73771,0.81287,0.85986,0.62536,0.89354,1.92753,0.94831,0.00091175,0.00091175,0.00091175
43,653.51,1.0951,1.41255,1.15582,0.81897,0.90212,0.94922,0.74289,0.77158,1.72616,0.88367,0.0009035,0.0009035,0.0009035
44,666.681,0.97393,1.26804,1.04472,0.81864,0.93335,0.95361,0.76244,0.80101,1.60654,0.88245,0.00089525,0.00089525,0.00089525
45,679.722,0.93973,1.24071,1.06411,0.81864,0.93335,0.95361,0.76244,0.80101,1.60654,0.88245,0.000887,0.000887,0.000887
46,692.879,0.99901,1.31276,1.10714,0.79768,0.93185,0.95638,0.77554,0.78055,1.59755,0.88517,0.00087875,0.00087875,0.00087875
47,705.945,1.00609,1.20705,1.10656,0.76871,0.90169,0.94401,0.7439,0.78477,1.57947,0.92434,0.0008705,0.0008705,0.0008705
48,719.117,0.99148,1.26176,1.25494,0.79143,0.90649,0.92424,0.72904,0.8409,1.49414,0.90618,0.00086225,0.00086225,0.00086225
49,732.228,0.92031,1.25855,1.09347,0.79143,0.90649,0.92424,0.72904,0.8409,1.49414,0.90618,0.000854,0.000854,0.000854
50,745.588,0.97967,1.37673,1.11671,0.80967,0.959,0.94379,0.71299,0.84871,1.32217,0.89452,0.00084575,0.00084575,0.00084575
51,758.916,1.00521,1.21815,1.06324,0.88532,0.8904,0.94987,0.74285,0.76823,1.24273,0.87992,0.0008375,0.0008375,0.0008375
52,772.097,0.98966,1.27346,1.13358,0.84734,0.93221,0.95396,0.76461,0.71423,1.24631,0.86291,0.00082925,0.00082925,0.00082925
53,785.381,0.8416,1.18052,0.9935,0.84734,0.93221,0.95396,0.76461,0.71423,1.24631,0.86291,0.000821,0.000821,0.000821
54,798.601,0.9394,1.23595,1.05179,0.8342,0.93711,0.95104,0.7812,0.66948,1.17211,0.85414,0.00081275,0.00081275,0.00081275
55,811.739,0.85317,1.1765,1.05789,0.86375,0.96122,0.95826,0.76419,0.70993,1.15981,0.88962,0.0008045,0.0008045,0.0008045
56,825.165,0.8284,1.27682,1.05919,0.86503,0.92691,0.93866,0.68624,0.84379,1.29219,0.93792,0.00079625,0.00079625,0.00079625
57,838.201,0.80623,1.02536,1.04513,0.86503,0.92691,0.93866,0.68624,0.84379,1.29219,0.93792,0.000788,0.000788,0.000788
58,851.32,0.88051,1.05075,1.04032,0.8706,0.94333,0.9315,0.69296,0.87,1.25305,0.94017,0.00077975,0.00077975,0.00077975
59,864.505,0.71465,1.0602,0.95387,0.84425,0.95382,0.95038,0.74283,0.79724,1.18861,0.91175,0.0007715,0.0007715,0.0007715
